DR_NO,AREA NAME,Crm Cd Desc
211507896,N Hollywood,THEFT OF IDENTITY
201516622,N Hollywood,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
240913563,Van Nuys,THEFT OF IDENTITY
210704711,Wilshire,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)
201418201,Pacific,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
240412063,Hollenbeck,THEFT OF IDENTITY
240317069,Southwest,THEFT OF IDENTITY
201115217,Northeast,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
241708596,Devonshire,THEFT OF IDENTITY
242113813,Topanga,THEFT OF IDENTITY
240605846,Hollywood,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
242014110,Olympic,THEFT OF IDENTITY
202113531,Topanga,VEHICLE - STOLEN
201710725,Devonshire,BURGLARY
201406733,Pacific,BURGLARY FROM VEHICLE
201405970,Pacific,THEFT PLAIN - PETTY ($950 & UNDER)
201820230,Southeast,INTIMATE PARTNER - SIMPLE ASSAULT
201707577,Devonshire,BATTERY - SIMPLE ASSAULT
201514848,N Hollywood,BURGLARY
201405023,Pacific,BURGLARY
211306997,Newton,THEFT PLAIN - PETTY ($950 & UNDER)
201405778,Pacific,THEFT PLAIN - PETTY ($950 & UNDER)
202005291,Olympic,THEFT PLAIN - PETTY ($950 & UNDER)
201715737,Devonshire,BURGLARY
201608553,Foothill,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
202006163,Olympic,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
202009677,Olympic,VEHICLE - ATTEMPT STOLEN
201915689,Mission,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
201918078,Mission,ROBBERY
202013248,Olympic,INTIMATE PARTNER - SIMPLE ASSAULT
202011749,Olympic,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
201811813,Southeast,VEHICLE - STOLEN
201809657,Southeast,INTIMATE PARTNER - SIMPLE ASSAULT
201409975,Pacific,BURGLARY FROM VEHICLE
201819653,Southeast,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
201911106,Mission,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
201819475,Southeast,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
202106474,Topanga,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
202115676,Topanga,BURGLARY
201416348,Pacific,VEHICLE - STOLEN
201420586,Pacific,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
201504263,N Hollywood,BURGLARY FROM VEHICLE
202013922,Olympic,THEFT PLAIN - PETTY ($950 & UNDER)
201615829,Foothill,ROBBERY
201908231,Mission,FIREARMS RESTRAINING ORDER (FIREARMS RO)
220614831,Hollywood,THEFT OF IDENTITY
201420127,Pacific,BIKE - STOLEN
201810632,Southeast,BATTERY - SIMPLE ASSAULT
202115664,Topanga,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
202013106,Olympic,THEFT PLAIN - PETTY ($950 & UNDER)
201908682,Mission,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
201419812,Pacific,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
210404224,Hollenbeck,BURGLARY
202105280,Topanga,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
201904694,Mission,VEHICLE - STOLEN
