Incident_ID,Offense,Zipcode
74702,PHYSICAL SIMPLE ASSAULT,27517
74489,INFORMATION,27514
74634,DOMESTIC SIMPLE ASSAULT,27514
74336,B&E LARCENY F/VEHICLE,27516
74442,ALCOHOL OVERDOSE,27516
74480,TRAFFIC COMPLAINT/DIRECTED PATROL,27514
74703,ASSIST OTHER AGENCY,27514
74348,INFORMATION,27517
74633,LOUD MUSIC/PARTY,27514
74481,FRAUDULENT USE OF BANK CARD,27514
74339,B&E RESIDENCE-FORCE,27514
74446,INFORMATION,27516
74706,RUNAWAY/UNDISCIPLINED JUVENILE,27516
74638,LOUD MUSIC/PARTY,27514
74485,ALCOHOL VIOLATIONS,27516
74341,INFORMATION,27517
74457,K-9 SNIFF,27516
74646,INFORMATION,27514
74708,TRESPASSING,27516
74482,B&E LARCENY F/VEHICLE,27516
74548,LOUD MUSIC/PARTY,27516
74452,DOMESTIC DISTURBANCE/NO ASSAULT,27514
74641,SUSPICIOUS PERSON,27514
74707,INFORMATION,27514
74491,VOLUNTARY MENTAL COMMITMENT,27514
74754,INFORMATION,27514
74448,FOUND PROPERTY,27516
74645,INFORMATION,27516
74709,INFORMATION,27516
74711,INFORMATION,27517
74710,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27517
74731,SOLICITING PERMIT,27514
74712,LARCENY- ALL OTHER,27516
74714,TRESPASSING,27514
74713,LARCENY- ALL OTHER,27516
74717,INFORMATION,27514
74727,LARCENY- ALL OTHER,27517
74715,DISTURBING THE PEACE,27514
74719,VOLUNTARY MENTAL COMMITMENT,27514
74725,INFORMATION,27514
75110,DRUNK AND DISRUPTIVE,27516
74538,DOMESTIC DISTURBANCE/NO ASSAULT,27516
75117,DRUNK AND DISRUPTIVE,27514
75120,SUSPICIOUS,27516
74536,B&E RESIDENCE NO FORCE,27514
75118,NARCOTIC SNIFF,27516
74537,DOMESTIC DISTURBANCE/NO ASSAULT,27514
74616,THREATENING PHONE CALLS,<Null>
75119,DISTURBANCE,27516
74562,DISTURBING THE PEACE,27514
74564,DISCHARGING FIREARM,27514
74541,SIMPLE POSSESSION,27514
74565,FOUND PROPERTY,27514
74555,FOUND PROPERTY,27514
74566,LOUD MUSIC/PARTY,27516
74542,SIMPLE ASSAULT-OTHER,27514
74567,HARASSING PHONE CALLS-NO THREATS,27516
74551,SUSPICIOUS VEHICLE,27516
74569,B&E RESIDENCE-FORCE,27514
74568,ABANDONED VEHICLE,27514
74572,INFORMATION,27516
74570,FOUND PROPERTY,27517
74571,LARCENY- ALL OTHER,27516
74573,LARCENY,27514
74574,ASSIST OTHER AGENCY,27514
74576,ASSISTANCE,27514
74577,DOMESTIC DISTURBANCE/NO ASSAULT,27514
74578,SUSPICIOUS PERSON,27516
74580,SIMPLE ASSAULT-OTHER,27517
81729,SUSPICIOUS PERSON,27516
74582,INFORMATION,27514
74583,B&E RESIDENCE NO FORCE,<Null>
74584,B&E RESIDENCE-FORCE,27517
74593,B&E LARCENY F/VEHICLE,27516
74588,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27707
74585,ASSIST FIRE DEPARTMENT,27514
74586,TRAFFIC / DIRECTED PATROL,27514
74592,SUSPICIOUS CONDITION,27514
74587,SUSPICIOUS CONDITIONS,27514
74590,DOMESTIC DISTURBANCE/NO ASSAULT,27514
74589,ARMED ROBBERY,27514
81746,DOMESTIC DISTURBANCE/NO ASSAULT,27514
74591,B&E LARCENY F/VEHICLE,<Null>
74594,INFORMATION,27514
74612,UNDISCIPLINED CHILD,27516
74600,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27514
74597,ASSIST EMS,27516
74598,ALARM,27514
74596,COMMUNITY OUTREACH,27516
74621,CREDIT CARD THEFT,<Null>
74603,FOUND PROPERTY,27517
74606,HARASSING PHONE CALLS-NO THREATS,27514
74602,INFORMATION,27514
74625,B&E LARCENY F/VEHICLE,27516
74601,COMMUNITY OUTREACH,27516
74605,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27516
74608,B&E RESIDENCE NO FORCE,27707
74615,TRESPASSING,27514
74607,COMMUNICATING THREATS -INTIMIDATION NON PHYSICAL THREAT,27516
74604,LARCENY- ALL OTHER,27516
74609,INVOLUNTARY COMMITMENT-NON CRIMINAL DETAINMENT,27514
74610,EQUIP/PARAPHERNALIA-POSS/CONCEALING,27514
74613,SUSPICIOUS PERSON,27517
74637,ALARM,27517
74639,NARCOTIC SNIFF,27514
74614,LOST PROPERTY,27516
74617,LARCENY-SHOPLIFTING,27514
74622,HARASSING PHONE CALLS-NO THREATS,27514
74620,GRAFFITI VANDALISM,27514
74618,SUSPICIOUS PERSON,27514
74619,LARCENY- ALL OTHER,27514
74342,B&E LARCENY F/VEHICLE,27514
74624,LARCENY-SHOPLIFTING,27514
74626,B&E RESIDENCE NO FORCE,27517
74623,DOMESTIC DISTURBANCE/NO ASSAULT,27516
74629,BARKING DOG,27517
74627,DOMESTIC DISTURBANCE/NO ASSAULT,27517
74628,B&E BUSINESS-FORCE,27707
74632,INVOLUNTARY COMMITMENT-NON CRIMINAL DETAINMENT,27514
74630,JUVENILE ASSISTANCE,27514
74636,LOUD MUSIC/PARTY,27514
74631,LOUD MUSIC,27514
74635,ALCOHOL VIOLATIONS,27514
74486,ASSIST EMS,27517
74772,LOST PROPERTY,27516
74736,VANDALISM / DAMAGE TO VEHICLE (WILLFUL),27514
74490,IDENTITY THEFT,27517
74791,FRAUD-ALL OTHER,27517
74756,INFORMATION,27514
74757,B&E VEH (ATT LAR F/VEH),27514
74449,COMMUNICATING THREATS -INTIMIDATION NON PHYSICAL THREAT,27514
74493,ASSAULT ON FEMALE,27516
74768,B&E VEH (ATT LAR F/VEH),27516
74644,AUTOMOBILE THEFT,27516
74488,NOISE DISPUTE BETWEEN NEIGHBORS,27514
74450,SUSPICIOUS PERSON,27707
74755,INFORMATION,27516
74647,LARCENY FROM BUSINESS,27516
74497,ALERT OPERATION,27516
74784,B&E LARCENY F/VEHICLE,27517
74471,LARCENY-SHOPLIFTING,27516
74752,SIMPLE ASSAULT-OTHER,27514
74494,DOMESTIC DISTURBANCE/NO ASSAULT,27516
74787,B&E VEH (ATT LAR F/VEH),27516
75063,UNLAWFUL BURNING,27514
74648,ROBBERY,27514
74579,LARCENY- ALL OTHER,27516
74785,B&E VEH (ATT LAR F/VEH),27516
74864,FORGERY- USING/UTTERING,27514
74649,LARCENY- ALL OTHER,27516
74642,SECURITY SURVEY,27514
74643,SECURITY SURVEY,27514
74656,LARCENY- ALL OTHER,27514
74650,STRONG ARM ROBBERY,27514
74651,TRESPASSING,27516
74666,LARCENY FROM MOTOR VEHICLE,27514
74436,INFORMATION,27516
75051,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27514
74540,DOMESTIC DISTURBANCE/NO ASSAULT,27514
74236,B&E LARCENY F/VEHICLE,27516
75056,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27516
74547,LOUD MUSIC/PARTY,27514
74237,INFORMATION,27516
75064,B&E LARCENY F/VEHICLE,27517
74550,DOMESTIC DISTURBANCE/NO ASSAULT,27514
74235,SUSPICIOUS CONDITION,27516
75052,LARCENY OF BICYCLE,27516
74849,K-9 SNIFF,27516
74238,CREDIT CARD/ATM FRAUD,27514
74346,DOMESTIC DISTURBANCE/NO ASSAULT,27517
74663,LARCENY- ALL OTHER,27516
74244,STALKING,27514
74653,LARCENY-SHOPLIFTING,27517
74848,ALERT OPERATION,27514
74241,LARCENY- ALL OTHER,27514
74144,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27514
75059,DISTURBANCE,27514
74718,DRUG VIOLATIONS,27510
74242,TRESPASSING,27514
74652,DOMESTIC DISTURBANCE/NO ASSAULT,27514
74668,SIMPLE ASSAULT-OTHER,27517
74722,LARCENY FROM MOTOR VEHICLE,27517
74245,LARCENY OF BICYCLE,27514
74150,SUSPICIOUS VEHICLES,27516
74667,LOST PROPERTY,27514
74723,INFORMATION,27516
74721,LARCENY FROM BUSINESS,27514
74724,LOUD MUSIC,27514
74750,DRIVING WHILE IMPAIRED,27514
74726,DRUG VIOLATIONS,27510
74730,B&E BUSINESS-FORCE,27517
74729,SUSPICIOUS PERSON,27516
74733,BARKING DOG,27516
74728,DAMAGE TO PROPERTY(NON-CRIMINAL),27514
74734,AUTOMOBILE THEFT,<Null>
74738,COMMUNICATING THREATS -INTIMIDATION NON PHYSICAL THREAT,27516
74732,LARCENY OF BICYCLE,27516
74753,SOLICITING PERMIT,27514
74740,ATTEMPTED B&E BUSINESS-FORCE,27516
74741,B&E RESIDENCE-FORCE,27516
74737,LARCENY OF LAPTOP,27514
74743,CREDIT CARD FRAUD,27514
74735,SECURITY SURVEY,27517
74739,B&E RESIDENCE-FORCE,27517
74742,FIGHTING/ AFFRAY,27516
