OBJECTID,crime_description,district
12001,Miscellaneous/Missing Person (18 & over),Northeast
12002,Miscellaneous/All Other Non-Offenses,North
12003,Miscellaneous/Mental Commitment,Southwest
12004,Miscellaneous/All Other Non-Offenses,Southeast
12005,Miscellaneous/All Other Non-Offenses,Southeast
12006,Miscellaneous/All Other Non-Offenses,Southeast
12007,Miscellaneous/Overdose Death,Southwest
12008,Miscellaneous/All Other Non-Offenses,Southwest
12009,Miscellaneous/All Other Non-Offenses,Southeast
12010,Family Offenses/Nonviolent (eg: neglect),Southeast
12012,Miscellaneous/All Other Non-Offenses,Southeast
12013,Miscellaneous/All Other Non-Offenses,Southeast
12014,Miscellaneous/Found Property,Southwest
12016,Miscellaneous/All Other Non-Offenses,Southwest
12017,Miscellaneous/All Other Non-Offenses,Northwest
12018,Family Offenses/Nonviolent (eg: neglect),Downtown
12019,Miscellaneous/Lost Property,North
12021,Miscellaneous/All Other Non-Offenses,Southeast
12022,Miscellaneous/Lost Property,North
12023,Miscellaneous/Deceased Person,Northeast
12024,Miscellaneous/Found Property,North
12025,Miscellaneous/All Other Non-Offenses,North
12026,Miscellaneous/All Other Non-Offenses,Southeast
12027,Miscellaneous/All Other Non-Offenses,Southeast
12029,Miscellaneous/Lost Property,Northwest
12030,Miscellaneous/All Other Non-Offenses,North
12031,Miscellaneous/All Other Non-Offenses,Southeast
12032,Miscellaneous/All Other Non-Offenses,Downtown
12033,Miscellaneous/Lost Property,North
12035,Miscellaneous/All Other Non-Offenses,Northwest
12036,Miscellaneous/Found Property,Downtown
12037,Family Offenses/Nonviolent (eg: neglect),Southeast
12038,Miscellaneous/All Other Non-Offenses,Southwest
12040,Miscellaneous/Found Property,Southwest
12041,Miscellaneous/All Other Non-Offenses,North
12042,Miscellaneous/All Other Non-Offenses,Downtown
12043,Miscellaneous/All Other Non-Offenses,North
12044,Miscellaneous/All Other Non-Offenses,Southeast
12045,Miscellaneous/All Other Non-Offenses,Northeast
12046,Miscellaneous/All Other Non-Offenses,North
12047,Miscellaneous/All Other Non-Offenses,North
12048,Miscellaneous/Missing Person (18 & over),Southwest
12051,Miscellaneous/All Other Non-Offenses,Northwest
12052,Miscellaneous/All Other Non-Offenses,Southeast
12053,Miscellaneous/Found Property,North
12054,Miscellaneous/Lost Property,Downtown
12055,Miscellaneous/All Other Non-Offenses,Southwest
12057,Miscellaneous/Mental Commitment,North
12058,Miscellaneous/Found Property,Southeast
12059,Miscellaneous/Found Property,Downtown
12060,Miscellaneous/Deceased Person,Southwest
12061,Miscellaneous/Mental Commitment,Southeast
12062,Miscellaneous/Mental Commitment,Southeast
12063,Sex Offense/Forcible Rape,Downtown
12065,Miscellaneous/Injured Person,Southeast
12066,Miscellaneous/All Other Non-Offenses,Northeast
12067,Miscellaneous/All Other Non-Offenses,Downtown
12068,Miscellaneous/All Other Non-Offenses,Northwest
12069,Miscellaneous/Deceased Person,Northwest
12071,Miscellaneous/All Other Non-Offenses,North
12072,Miscellaneous/All Other Non-Offenses,North
12073,Miscellaneous/All Other Non-Offenses,Southeast
12074,Miscellaneous/All Other Non-Offenses,Southwest
12076,Miscellaneous/All Other Non-Offenses,Downtown
12078,Miscellaneous/All Other Non-Offenses,Northwest
12079,Miscellaneous/All Other Non-Offenses,Downtown
12080,Sex Offense/Forcible Sodomy,North
12081,Miscellaneous/All Other Non-Offenses,Southwest
12083,Sex Offense/Forcible Rape,Northwest
12084,Miscellaneous/All Other Non-Offenses,Northwest
12085,Miscellaneous/All Other Non-Offenses,North
12086,Miscellaneous/Injured Person,Southeast
12087,Miscellaneous/All Other Non-Offenses,North
12088,Miscellaneous/All Other Non-Offenses,Downtown
12089,Miscellaneous/All Other Non-Offenses,North
12090,Miscellaneous/All Other Non-Offenses,Northwest
12091,Miscellaneous/All Other Non-Offenses,Southeast
12092,Miscellaneous/All Other Non-Offenses,Northwest
12093,Miscellaneous/Found Property,Southeast
12094,Miscellaneous/All Other Non-Offenses,North
12095,Miscellaneous/Lost Property,North
12096,Miscellaneous/All Other Non-Offenses,Northeast
12097,Miscellaneous/All Other Non-Offenses,Southwest
12098,Miscellaneous/Found Property,Southwest
12099,Miscellaneous/Mental Commitment,Northwest
12101,Miscellaneous/All Other Non-Offenses,Southwest
12103,Miscellaneous/Overdose,Downtown
12104,Miscellaneous/All Other Non-Offenses,Northwest
12105,Miscellaneous/All Other Non-Offenses,North
12106,Miscellaneous/All Other Non-Offenses,Northeast
12108,Miscellaneous/Overdose,Southeast
12110,Miscellaneous/All Other Non-Offenses,Southwest
12111,Miscellaneous/Lost Property,Southeast
12113,Miscellaneous/All Other Non-Offenses,Downtown
12114,Miscellaneous/Found Property,North
12115,Miscellaneous/All Other Non-Offenses,North
12116,Miscellaneous/All Other Non-Offenses,Downtown
12117,Family Offenses/Nonviolent (eg: neglect),Southwest
12118,Miscellaneous/All Other Non-Offenses,Downtown
12119,Miscellaneous/Deceased Person,Southeast
12120,Miscellaneous/Found Property,Southwest
12121,Miscellaneous/All Other Non-Offenses,North
12123,Miscellaneous/Found Property,Downtown
12124,Miscellaneous/All Other Non-Offenses,Southeast
12125,Miscellaneous/All Other Non-Offenses,Northeast
12126,Miscellaneous/All Other Non-Offenses,Northwest
12127,Miscellaneous/All Other Non-Offenses,Southwest
12128,Miscellaneous/Suicide,Northeast
12129,Miscellaneous/All Other Non-Offenses,Downtown
12130,Miscellaneous/Deceased Person,Northwest
12131,Miscellaneous/Missing Person (18 & over),Northeast
12133,Miscellaneous/All Other Non-Offenses,Southeast
12135,Miscellaneous/Found Property,Northeast
12136,Miscellaneous/All Other Non-Offenses,North
12137,Miscellaneous/All Other Non-Offenses,Southwest
12138,Miscellaneous/Lost Property,Downtown
12139,Miscellaneous/All Other Non-Offenses,North
12140,Miscellaneous/All Other Non-Offenses,North
12141,Miscellaneous/Lost Property,Northwest
12142,Miscellaneous/Lost Property,North
12143,Miscellaneous/Found Property,Northeast
12144,Miscellaneous/All Other Non-Offenses,Southwest
12146,Miscellaneous/Missing Person (18 & over),Northeast
12147,Miscellaneous/All Other Non-Offenses,Southeast
12148,Miscellaneous/All Other Non-Offenses,Northwest
12149,Miscellaneous/Suicide,North
12150,Miscellaneous/Found Property,North
12152,Miscellaneous/Lost Property,Downtown
12153,Miscellaneous/All Other Non-Offenses,Northeast
12154,Miscellaneous/All Other Non-Offenses,Northeast
12155,Miscellaneous/All Other Non-Offenses,Southwest
12156,Miscellaneous/Mental Commitment,Southeast
12157,Miscellaneous/All Other Non-Offenses,Downtown
12158,Miscellaneous/All Other Non-Offenses,Southwest
12159,Miscellaneous/Mental Commitment,Southwest
12160,Miscellaneous/All Other Non-Offenses,Northwest
12161,Miscellaneous/All Other Non-Offenses,North
12162,Miscellaneous/All Other Non-Offenses,Southeast
12163,Miscellaneous/All Other Non-Offenses,Downtown
12164,Miscellaneous/Mental Commitment,Southwest
12165,Miscellaneous/Mental Commitment,Southeast
12166,Miscellaneous/All Other Non-Offenses,Southeast
12167,Miscellaneous/All Other Non-Offenses,Northwest
12168,Miscellaneous/Mental Commitment,North
12169,Miscellaneous/Deceased Person,Northeast
12170,Miscellaneous/All Other Non-Offenses,Downtown
12171,Miscellaneous/All Other Non-Offenses,Southwest
12173,Miscellaneous/Suicide,Downtown
12174,Miscellaneous/All Other Non-Offenses,Northeast
12175,Miscellaneous/Mental Commitment,Southeast
12176,Miscellaneous/All Other Non-Offenses,Southwest
12177,Miscellaneous/Deceased Person,Northeast
12178,Miscellaneous/All Other Non-Offenses,Northeast
12179,Miscellaneous/All Other Non-Offenses,Northeast
12180,Miscellaneous/Suicide,Southwest
12181,Miscellaneous/All Other Non-Offenses,Northeast
12182,Miscellaneous/All Other Non-Offenses,Downtown
12183,Sex Offense/All Other,Downtown
12185,Miscellaneous/Mental Commitment,Southwest
12186,Miscellaneous/Deceased Person,Southeast
12187,Miscellaneous/All Other Non-Offenses,North
12188,Sex Offense/Forcible Rape,Northeast
12189,Miscellaneous/All Other Non-Offenses,North
12190,Miscellaneous/Deceased Person,Southeast
12191,Miscellaneous/All Other Non-Offenses,Northeast
12192,Miscellaneous/All Other Non-Offenses,Northwest
12193,Miscellaneous/All Other Non-Offenses,Downtown
12195,Miscellaneous/Found Property,Southwest
12196,Miscellaneous/All Other Non-Offenses,Northeast
12198,Miscellaneous/All Other Non-Offenses,North
12199,Miscellaneous/Lost Property,Northeast
12200,Family Offenses/Nonviolent (eg: neglect),North
12201,Miscellaneous/All Other Non-Offenses,Southeast
12202,Miscellaneous/All Other Non-Offenses,Downtown
12203,Miscellaneous/All Other Non-Offenses,North
12204,Miscellaneous/All Other Non-Offenses,Northeast
12205,Miscellaneous/Lost Property,Northwest
12206,Miscellaneous/Mental Commitment,Northwest
12207,Miscellaneous/All Other Non-Offenses,North
12208,Miscellaneous/Found Property,Downtown
12209,Miscellaneous/Found Property,Downtown
12210,Miscellaneous/All Other Non-Offenses,Southeast
12211,Miscellaneous/All Other Non-Offenses,Southwest
12212,Miscellaneous/Found Property,Downtown
12214,Miscellaneous/Mental Commitment,Northeast
12215,Miscellaneous/All Other Non-Offenses,Southwest
12216,Miscellaneous/All Other Non-Offenses,North
12218,Miscellaneous/Found Property,Northeast
12220,Miscellaneous/All Other Non-Offenses,Downtown
12221,Miscellaneous/Suicide,Northeast
12223,Miscellaneous/All Other Non-Offenses,North
12224,Miscellaneous/Found Property,Downtown
12225,Miscellaneous/All Other Non-Offenses,Northeast
12226,Miscellaneous/All Other Non-Offenses,North
12227,Miscellaneous/Overdose,Northeast
12228,Miscellaneous/All Other Non-Offenses,Southeast
12229,Miscellaneous/All Other Non-Offenses,Southeast
12230,Miscellaneous/Mental Commitment,North
12231,Miscellaneous/Found Property,Downtown
12232,Miscellaneous/All Other Non-Offenses,Downtown
12234,Miscellaneous/All Other Non-Offenses,Southwest
12235,Miscellaneous/Mental Commitment,Northeast
12236,Miscellaneous/All Other Non-Offenses,Southeast
12237,Miscellaneous/All Other Non-Offenses,Southeast
12238,Miscellaneous/All Other Non-Offenses,Downtown
12240,Miscellaneous/Deceased Person,North
12241,Miscellaneous/Mental Commitment,Southeast
12242,Miscellaneous/All Other Non-Offenses,Northeast
12243,Miscellaneous/Lost Property,North
12244,Miscellaneous/All Other Non-Offenses,Southeast
12245,Miscellaneous/All Other Non-Offenses,Southeast
12246,Miscellaneous/Mental Commitment,North
12247,Miscellaneous/Mental Commitment,Northwest
12248,Miscellaneous/Overdose,Northwest
12249,Miscellaneous/All Other Non-Offenses,Downtown
12250,Miscellaneous/Lost Property,Northeast
12251,Miscellaneous/All Other Non-Offenses,Southwest
12252,Miscellaneous/All Other Non-Offenses,Downtown
12253,Miscellaneous/Mental Commitment,Northwest
12254,Miscellaneous/Lost Property,Northeast
12255,Sex Offense/Forcible Rape,Southeast
12256,Miscellaneous/All Other Non-Offenses,Northeast
12257,Miscellaneous/All Other Non-Offenses,North
12258,Miscellaneous/Overdose,North
12259,Miscellaneous/Found Property,Northeast
12260,Miscellaneous/All Other Non-Offenses,Northeast
12261,Miscellaneous/Deceased Person,Southwest
12262,Child Abuse/Aggravated,Southeast
12263,Miscellaneous/All Other Non-Offenses,Southeast
12264,Miscellaneous/All Other Non-Offenses,Southeast
12266,Sex Offense/Peeping Tom,Southeast
12267,Miscellaneous/All Other Non-Offenses,Northeast
12268,Miscellaneous/All Other Non-Offenses,Northwest
12269,Miscellaneous/All Other Non-Offenses,Northeast
12270,Miscellaneous/All Other Non-Offenses,Southeast
12271,Miscellaneous/Lost Property,Northwest
12272,Miscellaneous/All Other Non-Offenses,Northwest
12273,Miscellaneous/All Other Non-Offenses,North
12274,Miscellaneous/Deceased Person,Southwest
12275,Miscellaneous/All Other Non-Offenses,Southwest
12276,Miscellaneous/All Other Non-Offenses,Southeast
12277,Miscellaneous/All Other Non-Offenses,North
12278,Miscellaneous/Mental Commitment,Northwest
12279,Miscellaneous/Lost Property,Downtown
12280,Miscellaneous/All Other Non-Offenses,Northeast
12281,Miscellaneous/All Other Non-Offenses,Downtown
12282,Miscellaneous/Lost Property,North
12283,Miscellaneous/All Other Non-Offenses,North
12285,Miscellaneous/All Other Non-Offenses,North
12287,Miscellaneous/All Other Non-Offenses,Northwest
12288,Miscellaneous/All Other Non-Offenses,Downtown
12289,Miscellaneous/All Other Non-Offenses,Southeast
12290,Miscellaneous/All Other Non-Offenses,Northeast
12292,Miscellaneous/All Other Non-Offenses,Southeast
12293,Miscellaneous/All Other Non-Offenses,Southeast
12294,Sex Offense/Forcible Rape,Northeast
12295,Miscellaneous/All Other Non-Offenses,Southwest
12296,Miscellaneous/All Other Non-Offenses,Northeast
12297,Miscellaneous/Mental Commitment,North
12298,Miscellaneous/All Other Non-Offenses,Southwest
12299,Miscellaneous/All Other Non-Offenses,Southeast
12300,Miscellaneous/All Other Non-Offenses,Southwest
12302,Sex Offense/Forcible Fondling,Southeast
12303,Miscellaneous/All Other Non-Offenses,Downtown
12304,Miscellaneous/All Other Non-Offenses,North
12305,Miscellaneous/All Other Non-Offenses,Southeast
12306,Miscellaneous/All Other Non-Offenses,North
12308,Miscellaneous/Found Property,Southeast
12310,Miscellaneous/All Other Non-Offenses,Northeast
12311,Miscellaneous/All Other Non-Offenses,Downtown
12313,Sex Offense/Peeping Tom,Northwest
